player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,marketvalue,g/a
Zanka,14,1087,1,0,4,0,0.6,75.4,1.9,0,6.52,Non Big 6,Centre-Back,34,1000000,1
Kurt Zouma,33,2841,3,0,3,0,0.5,83.9,1.8,1,6.52,Non Big 6,Centre-Back,29,25000000,3
Issa Diop,18,1426,0,0,2,1,0.3,88.1,1.4,1,6.51,Non Big 6,Centre-Back,27,20000000,0
Adam Smith,28,2158,0,2,6,0,0.1,77.1,0.7,0,6.51,Non Big 6,Wing Back,33,1000000,2
Joël Veltman,27,1583,1,1,4,0,0.2,84.9,1.1,0,6.51,Non Big 6,Wing Back,32,10000000,2
Zeki Amdouni,34,1972,5,1,2,0,1.4,80.9,0.5,1,6.51,Non Big 6,Centre-Forward,23,12000000,6
Thomas Kaminski,38,3406,0,0,3,0,0.0,55.0,0.1,0,6.51,Non Big 6,Goalkeeper,31,3000000,0
David Datro Fofana,15,880,4,1,1,0,1.3,69.0,0.9,2,6.51,Non Big 6,Centre-Forward,21,12000000,5
Harry Toffolo,23,1456,1,3,3,0,0.3,76.2,1.1,0,6.5,Non Big 6,Wing Back,28,5000000,4
Ibrahim Sangaré,17,1040,0,0,6,0,0.5,80.7,0.5,0,6.5,Non Big 6,Defensive Midfield,26,30000000,0
Tino Livramento,26,1306,1,0,1,0,0.2,86.8,0.5,0,6.5,Non Big 6,Wing Back,21,35000000,1
Amari'i Bell,21,1722,0,0,0,0,0.1,79.6,1.0,0,6.5,Non Big 6,Wing Back,30,2500000,0
Julio Enciso,12,475,0,2,2,0,2.3,77.2,0.1,0,6.5,Non Big 6,Attacking Midfield,20,22000000,2
Ryan Gravenberch,26,1122,1,0,0,0,0.9,83.4,0.4,0,6.49,Big 6,Central Midfield,22,35000000,1
Dean Henderson,18,1620,0,0,2,0,0.0,53.7,0.3,0,6.49,Non Big 6,Goalkeeper,27,12000000,0
Christopher Nkunku,11,437,3,0,0,0,1.5,89.3,0.9,0,6.49,Big 6,Attacking Midfield,26,65000000,3
Giovani Lo Celso,22,498,2,2,2,0,0.6,91.5,0.0,1,6.49,Big 6,Attacking Midfield,28,16000000,4
Evan Ferguson,27,1366,6,0,1,0,1.2,81.3,0.5,1,6.49,Non Big 6,Centre-Forward,19,50000000,6
Reece James,10,421,0,2,0,2,0.7,84.3,0.8,0,6.49,Big 6,Wing Back,24,40000000,2
