conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1277639684600942593,Mon Jun 29 16:26:52 +0000 2020,13,️‍LGBTQ+BLM️‍ https://t.co/xUwHdhhaoe,1277639684600942593.1,https://pbs.twimg.com/media/EbsWgYOU0AAhzsd.jpg,Unnamed: 6,in,Unnamed: 8,0,0.1,3,https://x.com/Brijangless22/status/1277639684600942593,105669019,Brijangless22,1475853269398433797,Tue Dec 28 15:36:54 +0000 2021,112,ocs lgbtq+ https://t.co/p1AVBwgJTX,1475853269398433797.1,https://pbs.twimg.com/media/FHtIBYDXEA0ykw8.jpg,"Porto Alegre, Brazil",2,10,https://x.com/itsyiren/status/1475853269398433797,285268191,itsyiren,1541557997138284546,Mon Jun 27 23:04:01 +0000 2022,8,LGBTQ Gecko Sweater https://t.co/zz7UkqWV6N,1541557997138284546.1,https://pbs.twimg.com/media/FWS20-2X0AAl84k.jpg,"Chicago, IL",1,https://x.com/joppenflopper/status/1541557997138284546,24441721,joppenflopper
1.3414067691600077e+18,Tue Dec 22 15:34:30 +0000 2020,3.0,aing mah da tiap ada post yang mengedukasi orang tentang lgbtq+ aing ga buka da soalnya aing tau isi komennya cuma indon tiko monyet tolol jadi aing gabuka deh,1.3414067691600077e+18,,,in,jkt,0.0,0.0,0.0,https://x.com/inlandXXIempire/status/1341406769160007680,3248118541.0,inlandXXIempire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3421337890074747e+18,Thu Dec 24 15:43:25 +0000 2020,0.0,Yulia &amp; Juliet(2019) - SHORT - LGBTQ+ - 12MIN by Kapitein Kort https://t.co/ZvAKTY3m8d,1.3421337890074747e+18,,,in,"Bogotá, Colombia - 3204274564",0.0,0.0,0.0,https://x.com/willyv78/status/1342133789007474690,65384813.0,willyv78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3417860814028677e+18,Wed Dec 23 16:41:45 +0000 2020,0.0,Serius aku penasaran gimana lgbtq+ community come out atau at least merasa dan sadar kalau mereka masuk dalam lgbtq+ itu... Apa kaya Teh gitu kira2? Hmmm,1.3417860814028677e+18,,,in,Sunshine Starlight,0.0,0.0,0.0,https://x.com/JiUnicorn/status/1341786081402867712,8.688407365648261e+17,JiUnicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3418979014972662e+18,Thu Dec 24 00:06:05 +0000 2020,2.0,hello vkei twt aka lgbtq+ community &lt;3 have a great christmas love ya!,1.3418979014972662e+18,,,in,any prns ☆ cz/eng ☆ eighteen,0.0,1.0,0.0,https://x.com/RUKICORE/status/1341897901497266177,9.604737326524212e+17,RUKICORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3430675900763546e+18,Sun Dec 27 05:34:01 +0000 2020,3.0,In one word oloriburuku ni awon LGBTQ community yen.,1.3430675900763546e+18,,,in,Earth ,0.0,2.0,0.0,https://x.com/eazygabazin/status/1343067590076354560,2191308915.0,eazygabazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3428618475826708e+18,Sat Dec 26 15:56:28 +0000 2020,3.0,hello lgbtq comunity,1.3428618475826708e+18,,,in,"Tokyo-to, Japan",0.0,1.0,0.0,https://x.com/KUR0OCORE/status/1342861847582670848,7.476600877921075e+17,KUR0OCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3440249656041062e+18,Tue Dec 29 20:58:17 +0000 2020,3.0,... LGBTQ love Satan? https://t.co/8dJCAvQkyM,1.3440249656041062e+18,https://pbs.twimg.com/media/EqbvkzyW8AMcRI9.jpg,,in,,0.0,0.0,1.0,https://x.com/NoAlternative20/status/1344024965604106249,1.2410692017811415e+18,NoAlternative20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3422235690575626e+18,Thu Dec 24 21:40:10 +0000 2020,0.0,Dulu LGBT je Hari tu LGBTQ sekarang ada LGBTQ+ + tu untuk apa? Subscribe premium ke?,1.3422235690575626e+18,,,in,"Kajang, Selangor",0.0,1.0,0.0,https://x.com/amirrrsan_/status/1342223569057562625,440686296.0,amirrrsan_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3444148224657572e+18,Wed Dec 30 22:47:26 +0000 2020,0.0,kang yeosang loves lgbtq atinys,1.3444148224657572e+18,,,in,insp botjoong ♡︎ dm 4 priv fb!,0.0,0.0,1.0,https://x.com/botsangie/status/1344414822465757189,1.3009656789884436e+18,botsangie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3443118543493652e+18,Wed Dec 30 15:58:16 +0000 2020,0.0,LGBTQ+,1.3443118543493652e+18,,,in,,0.0,0.0,0.0,https://x.com/defensesfavs/status/1344311854349365253,1.2482519990675374e+18,defensesfavs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
