conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1276503753495961601,Fri Jun 26 13:13:05 +0000 2020,21535,unilever support lgbt langsung rame boikot giliran buruh pabrik Aice diexploitasi diem aja. susah emang otak otak perbudakan,1276503753495961601.1,Unnamed: 5,Unnamed: 6,in,Unnamed: 8,332,233,11735,https://x.com/dekoprams/status/1276503753495961601,42592867,dekoprams,1374656043913932805,Wed Mar 24 09:35:15 +0000 2021,9558,indonesia ngaku2 anti-lgbt tapi kok ada trans tv,1374656043913932805.1,315,240,1749,https://x.com/wortelsoup/status/1374656043913932805,1035957565006344192,wortelsoup,1573912700324696065,Sun Sep 25 05:50:04 +0000 2022,5311,️ CW // LGBT ️ speechless sumpah apa ga mikir perasaan cewenya gmna klo tau :( https://t.co/w4lHT31UWx,1573912700324696065.1,https://pbs.twimg.com/media/Fdek7_SVQAEe2Yh.jpg,Indonesia,498,1005,334,https://x.com/tanyakanrl/status/1573912700324696065,1331650559518990336,tanyakanrl,1277639684600942593,Mon Jun 29 16:26:52 +0000 2020,13,️‍LGBTQ+BLM️‍ https://t.co/xUwHdhhaoe,1277639684600942593.1,https://pbs.twimg.com/media/EbsWgYOU0AAhzsd.jpg,0,0.1,3,https://x.com/Brijangless22/status/1277639684600942593,105669019,Brijangless22
1.3947974480869212e+18,Tue May 18 23:30:00 +0000 2021,1738.0,Jejak Israel: Kaum Pembunuh Nabi-Nabi yang Terusir dari Tanah Suci https://t.co/FHOcsfn3ny,1.3947974480869212e+18,,,in,"Jakarta Pusat, DKI Jakarta",35.0,29.0,707.0,https://x.com/SINDOnews/status/1394797448086921216,231355136.0,SINDOnews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3716324950248325e+18,Tue Mar 16 01:20:45 +0000 2021,204.0,2016 .. LU KIRA KORBAN BUKAN MANUSIA @KomnasHAM ? KORBAN YG HARUSNYA BERLINDUNG ATAS NAMA HAM .. PAHAM KAUU !! Komnas HAM tolak hukuman kebiri untuk penjahat seksual https://t.co/VJoZlGk94f,1.3716324950248325e+18,,,in,,10.0,35.0,71.0,https://x.com/Ndons_Back/status/1371632495024832513,1.2899545564119695e+18,Ndons_Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3671425514723328e+18,Wed Mar 03 15:59:19 +0000 2021,352.0,Gelar 'Sayyidi' dari perkataan Arab yang seerti dengan 'tuan' atau 'encik' juga dipendekkan sebutannya sebagai 'Sidi'.Kata Sidi berulang kali disebut dalam Sulalatus Salatin. Demikian perkataan 'Sayyidati' yang bermaksud 'Puan' dipendekkan menjadi 'Sidti' akhirnya Siti.,1.3671425514723328e+18,,,in,"Twitter, Instagram dan Tiktok ",9.0,8.0,107.0,https://x.com/H_Bakkaniy/status/1367142551472332804,9.358033155767419e+17,H_Bakkaniy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.398140886484091e+18,Fri May 28 05:16:37 +0000 2021,502.0,@solehsolihun Bayangin betapa bajingannya kalau semua pemerkosa disuruh nikah sama korbannya. cowok yg ngebet banget sama cewek idamannya tinggal diperkosa aja toh nanti disuruh nikah juga. Kan brengsek. Sama aja me mubah kan pemerkosaan..,1.3981461682075402e+18,,solehsolihun,in,"Jakarta Timur, DKI Jakarta",4.0,8.0,45.0,https://x.com/imasgautama/status/1398146168207540226,402630551.0,imasgautama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3475814142465925e+18,Fri Jan 08 16:30:20 +0000 2021,327.0,Deretan potret Soodam Secret Number yang tak boleh terlewatkan.https://t.co/xdIahySln7,1.3475814142465925e+18,,,in,,2.0,1.0,100.0,https://x.com/linetoday/status/1347581414246592513,7.585806097069752e+17,linetoday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3845045260030812e+18,Tue Apr 20 13:49:36 +0000 2021,249.0,Terrorist Biadab sedang mengejawentakan Buku Suci yg mereka ttg Kafir Binatang terhadap Para Pekerja Gereja di Sinai Utara‼️‼️ Nodai Ramadhan ISIS Eksekusi Mati Pekerja Gereja https://t.co/UBkkSkHH0U,1.3845045260030812e+18,,,in,,10.0,34.0,67.0,https://x.com/Corona_KafirNw/status/1384504526003081231,1.3115739791030764e+18,Corona_KafirNw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3855917516713083e+18,Fri Apr 23 14:09:42 +0000 2021,432.0,3. Yang terbaru Joseph Paul katakan apakah saya harus meminta maaf untuk sebuah kebenaran yang saya yakini? Jawaban yang sama persis seprti yang Somad katakan setelah Somad bilang di Salib ada Jin Kafir. Lalu bagaimana dgn Somad apakah ada interpol yang buru Somad ?,1.3855967468482929e+18,,KakekHalal,in,Indonesia 🇮🇩,7.0,12.0,57.0,https://x.com/KakekHalal/status/1385596746848292870,8.2185962903441e+17,KakekHalal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3470459468912435e+18,Thu Jan 07 05:02:35 +0000 2021,246.0,Jangan tanya lagi kalau PKS juaranya. Tapi ya begitu mereka juga gemar pakai agama buat kepentingan politiknya. https://t.co/6L7ClDdj2f,1.3470459468912435e+18,,,in,Indonesia,6.0,13.0,37.0,https://x.com/yusuf_dumdum/status/1347045946891243520,2156465923.0,yusuf_dumdum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3544154185138708e+18,Wed Jan 27 13:12:42 +0000 2021,161.0,Itu amalan memanggil roh yang didakwa sebagai wali (kebiasaannya di Nusantara Wali Songo) Nabi Khidir Syeikh Abdul Qadir al-Jilani termasuk jin syaitan. Umumnya itu cuma penipuan atau ada perjanjian dgn makhluk halus.,1.354417047543812e+18,,mohamadrazif,in,Nilai,1.0,3.0,27.0,https://x.com/mohamadrazif/status/1354417047543812103,237018652.0,mohamadrazif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3960043529558508e+18,Sat May 22 07:25:48 +0000 2021,186.0,Harga yang Harus Dibayar Sultan Abdul Hamid II Menolak Keinginan Yahudi https://t.co/HCXjSUCxgI,1.3960043529558508e+18,,,in,"Jakarta Pusat, DKI Jakarta",1.0,8.0,68.0,https://x.com/SINDOnews/status/1396004352955850752,231355136.0,SINDOnews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
