player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Manuel Ugarte,21,1935.0,0,2,5,0,0.4,91.5,0.6,0,7.15,PSG,DMC,23,Other,60,182
Wilfried Singo,24,2187.0,1,1,8,1,0.8,87.2,2.6,2,7.15,Monaco,D(CR),23,French Ligue 1,20,190
Bernardo Silva,29,2582.0,6,9,8,0,1.0,89.4,0.1,2,7.15,Man City,M(CLR),29,English Premier League,70,173
Virgil van Dijk,36,3178.0,2,2,3,1,1.3,91.5,3.9,1,7.15,Liverpool,D(C),32,English Premier League,30,195
Alessandro Buongiorno,29,2530.0,3,0,7,0,0.4,85.4,2.8,6,7.14,Torino,D(C),24,Italian Serie A,30,190
Matías Soulé,36,3141.0,11,3,4,0,2.3,81.5,0.3,3,7.14,Frosinone,AM(CR),21,Other,25,182
Rodrygo,28,2391.0,10,5,2,0,2.6,89.9,0.1,3,7.14,Real Madrid,AM(CLR),23,Spanish La Liga,100,174
Gianluigi Donnarumma,25,2170.0,0,0,3,1,0.0,87.1,0.1,2,7.14,PSG,GK,25,Other,40,196
Alexander Isak,27,2267.0,21,2,1,0,2.6,80.0,0.3,3,7.14,Newcastle,AM(L),24,English Premier League,75,192
Alphonso Davies,24,2067.0,2,5,0,0,0.4,88.9,0.5,1,7.13,Bayern,D(L),23,German Bundesliga,60,185
Joshua Kimmich,27,2186.0,1,6,1,1,0.9,91.3,0.2,2,7.13,Bayern,D(CR),29,German Bundesliga,60,177
Conor Gallagher,37,3137.0,5,7,7,1,1.3,91.5,0.7,1,7.13,Chelsea,M(CL),24,English Premier League,50,182
Matheus Cunha,29,2454.0,12,7,9,0,2.3,81.6,0.5,5,7.13,Wolves,AM(CL),25,English Premier League,45,183
Federico Dimarco,29,2105.0,5,6,0,0,1.7,85.2,0.2,2,7.12,Inter,D(CL),26,Italian Serie A,50,175
Paulo Dybala,25,1977.0,13,9,3,0,2.1,84.3,0.3,6,7.12,Roma,AM(CR),30,Italian Serie A,25,177
Frenkie de Jong,20,1644.0,2,0,7,0,0.4,93.1,1.2,2,7.12,Barcelona,D(C),27,Spanish La Liga,70,181
Trent Alexander-Arnold,25,2161.0,3,4,6,0,1.7,79.6,0.3,3,7.12,Liverpool,D(R),25,English Premier League,70,180
Federico Valverde,33,2911.0,2,7,2,0,1.5,91.2,0.6,3,7.12,Real Madrid,M(CLR),25,Spanish La Liga,100,182
Omar Marmoush,27,2311.0,12,6,7,0,2.7,73.4,1.0,4,7.11,Eintracht Frankfurt,AM(CL),25,German Bundesliga,22,183
Yangel Herrera,27,2121.0,5,0,9,0,1.8,87.4,2.1,1,7.11,Girona,M(C),26,Spanish La Liga,20,184
