player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Harvey Barnes,7,795.0,5,3,2,0,1.3,79.1,0.2,0,6.61,Newcastle,AM(CL),26,English Premier League,35,182
Stanislav Lobotka,38,3295.0,0,1,4,0,0.4,91.7,0.3,0,6.61,Napoli,DMC,29,Italian Serie A,30,168
Pau Torres,27,2464.0,2,0,1,0,0.4,87.8,0.8,1,6.61,Aston Villa,D(C),27,English Premier League,45,192
Dango Ouattara,12,1222.0,1,2,3,0,1.0,67.6,1.2,2,6.61,Bournemouth,D(L),22,English Premier League,20,177
Joe Gomez,17,1779.0,0,1,5,0,0.6,86.2,1.0,0,6.6,Liverpool,D(CLR),27,English Premier League,28,188
Takehiro Tomiyasu,10,1144.0,2,1,0,1,0.8,85.5,1.2,0,6.6,Arsenal,D(CLR),25,English Premier League,35,188
Mikel Oyarzabal,23,2160.0,9,3,3,0,1.2,75.6,0.8,1,6.59,Real Sociedad,AM(CLR),27,Spanish La Liga,50,181
Malick Thiaw,19,1621.0,0,1,5,1,0.2,91.6,1.8,1,6.59,AC Milan,D(C),22,Italian Serie A,30,194
Felix Nmecha,10,1016.0,1,2,3,0,1.2,84.1,1.1,0,6.59,Borussia Dortmund,M(C),23,German Bundesliga,25,190
Jakub Kiwior,11,946.0,1,3,1,0,0.3,85.8,0.8,0,6.58,Arsenal,D(CL),24,English Premier League,30,189
Taiwo Awoniyi,12,1047.0,6,3,2,0,1.1,73.8,1.1,0,6.58,Nottingham Forest,FW,26,Other,28,183
Sander Berge,34,3009.0,1,2,8,1,0.7,88.8,1.8,1,6.58,Burnley,M(C),26,English Premier League,20,195
Castello Lukeba,24,2186.0,1,0,3,0,0.2,91.7,1.0,0,6.57,RBL,D(C),21,Spanish La Liga,40,184
Samuele Ricci,28,2407.0,1,2,6,1,0.9,88.5,0.6,1,6.56,Torino,AM(C),22,Italian Serie A,20,181
Ander Barrenetxea,20,1440.0,4,1,1,0,1.3,72.5,0.5,0,6.55,Real Sociedad,M(LR),22,Spanish La Liga,20,175
Konstantinos Mavropanos,16,1501.0,1,0,2,0,0.6,76.7,2.3,0,6.55,West Ham,D(CR),26,English Premier League,20,194
Marc Guéhi,23,2023.0,0,1,2,0,0.2,87.2,1.2,0,6.55,Crystal Palace,D(C),23,English Premier League,38,182
Danilo,20,1801.0,2,2,4,0,0.8,80.6,0.5,0,6.55,Nottingham Forest,M(C),23,Other,28,177
Giacomo Raspadori,14,1574.0,5,3,0,0,1.6,79.9,0.2,1,6.54,Napoli,AM(CL),24,Italian Serie A,28,172
Javi Guerra,28,2505.0,4,1,3,1,1.2,74.1,0.7,0,6.54,Valencia,DMC,21,Spanish La Liga,20,187
Antony,15,1324.0,1,1,5,0,1.5,80.0,0.1,1,6.54,Man Utd,AM(R),24,English Premier League,25,172
David Raya,32,2880.0,0,0,2,0,0.0,70.8,0.2,0,6.54,Arsenal,GK,28,English Premier League,35,183
Elye Wahi,20,1704.0,9,3,8,1,2.2,75.4,0.4,0,6.54,Lens,AM(L),21,French Ligue 1,35,181
Rodrigo Riquelme,17,1527.0,3,5,1,0,1.1,79.3,0.1,1,6.52,Atletico,D(L),24,Spanish La Liga,25,174
Kurt Zouma,32,2841.0,3,0,3,0,0.5,83.9,1.8,1,6.52,West Ham,D(CR),29,English Premier League,25,190
Tino Livramento,12,1306.0,1,0,1,0,0.2,86.8,0.5,0,6.5,Newcastle,D(LR),21,English Premier League,35,182
Mattéo Guendouzi,27,2371.0,2,3,3,1,0.8,85.5,0.4,2,6.5,Lazio,M(C),25,Italian Serie A,25,185
Samuel Chukwueze,12,1015.0,1,3,1,0,1.2,81.7,0.4,0,6.5,AC Milan,AM(CR),25,Italian Serie A,20,172
Ryan Gravenberch,12,1122.0,1,0,0,0,0.9,83.4,0.4,0,6.49,Liverpool,DMC,22,English Premier League,35,190
Evan Ferguson,15,1366.0,6,0,1,0,1.2,81.3,0.5,1,6.49,Brighton,FW,19,English Premier League,50,188
Benoît Badiashile,15,1338.0,0,1,3,0,0.3,90.9,1.6,0,6.48,Chelsea,D(C),23,English Premier League,30,194
Hugo Larsson,21,1886.0,2,1,1,0,0.3,87.1,0.3,0,6.47,Eintracht Frankfurt,M(C),19,German Bundesliga,28,187
Curtis Jones,14,1168.0,1,1,3,1,0.8,91.5,0.3,0,6.47,Liverpool,AM(CL),23,English Premier League,35,185
Christoph Baumgartner,11,1152.0,5,1,3,0,1.0,76.8,0.7,0,6.46,RBL,AM(CLR),24,Spanish La Liga,20,180
Alex Scott,11,1013.0,1,1,3,0,0.7,81.0,0.7,1,6.46,Bournemouth,M(CR),20,English Premier League,20,178
Orel Mangala,19,1571.0,1,0,6,0,0.5,88.6,0.5,0,6.45,Nottingham Forest,M(C),26,Other,22,178
Samu Omorodion,21,1922.0,8,1,6,0,1.9,72.5,1.8,1,6.42,Deportivo Alaves,FW,20,Spanish La Liga,40,193
Milos Kerkez,22,1976.0,0,1,4,1,0.6,77.2,0.6,0,6.42,Bournemouth,D(L),20,English Premier League,20,180
Nayef Aguerd,21,1859.0,1,0,1,1,0.7,80.5,2.3,0,6.42,West Ham,D(C),28,English Premier League,35,190
Youssoufa Moukoko,4,615.0,5,0,1,0,0.7,84.3,0.3,0,6.41,Borussia Dortmund,FW,19,German Bundesliga,25,179
Noah Okafor,6,872.0,6,2,1,0,0.8,69.9,0.3,0,6.41,AC Milan,AM(L),24,Italian Serie A,20,185
Rodrigo Bentancur,13,1010.0,1,1,7,0,0.8,85.5,0.6,0,6.39,Tottenham,M(C),26,English Premier League,35,187
Yunus Musah,13,1468.0,0,2,5,0,0.5,89.0,0.5,0,6.38,AC Milan,M(CR),21,Italian Serie A,23,178
Carlos Baleba,15,1324.0,0,0,7,0,0.8,92.2,0.9,0,6.33,Brighton,DMC,20,English Premier League,22,179
Jhon Durán,3,463.0,5,0,5,0,0.9,71.1,0.9,1,6.32,Aston Villa,FW,20,English Premier League,20,185
Beto,9,939.0,3,0,2,0,1.4,61.5,1.6,1,6.32,Everton,FW,26,Other,20,194
Ansu Fati,3,514.0,2,0,2,0,1.4,87.3,0.1,0,6.26,Brighton,AM(L),21,English Premier League,25,178
Pedro,5,801.0,1,1,4,0,0.3,85.9,0.1,0,6.25,Lazio,M(CLR),36,Italian Serie A,22,185
Jesper Lindstrøm,2,418.0,0,0,2,0,0.6,84.4,0.0,0,6.2,Napoli,AM(CLR),24,Italian Serie A,25,182
