player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,age,PosisiPemain,HargaPasar
João Pedro,31,2046,9,3,2,0,2.4,82.7,1.3,3,6.93,Brighton,22,Centre-Forward,€45.00m  
Ben White,37,2995,4,4,8,0,0.4,86.7,1.0,0,6.93,Arsenal,26,Right-Back,€55.00m  
Adam Wharton,16,1305,0,3,2,0,0.6,81.1,0.5,0,6.93,Crystal Palace,20,Central Midfield,€30.00m  
Adam Wharton,16,1305,0,3,2,0,0.6,81.1,0.5,0,6.93,Crystal Palace,20,Central Midfield,€30.00m  
Antonee Robinson,37,3269,0,6,6,0,0.4,75.9,1.1,1,6.92,Fulham,26,Left-Back,€25.00m  
Jarrad Branthwaite,35,3117,3,0,8,0,0.4,80.1,2.7,0,6.9,Everton,21,Centre-Back,€42.00m  
Gabriel Jesus,27,1482,4,5,6,0,2.0,81.0,0.6,2,6.89,Arsenal,27,Centre-Forward,€65.00m  
Gabriel Martinelli,35,2031,6,4,1,0,1.7,85.0,0.5,1,6.89,Arsenal,22,Left Winger,€70.00m  
Ivan Toney,17,1449,4,2,5,0,3.0,55.7,3.2,2,6.89,Brentford,28,Centre-Forward,€50.00m  
Darwin Núñez,36,2050,11,8,9,0,3.0,71.6,0.9,0,6.89,Liverpool,24,Centre-Forward,€70.00m  
Kaoru Mitoma,19,1488,3,4,4,0,1.8,83.4,0.6,1,6.88,Brighton,27,Left Winger,€45.00m  
Jean-Philippe Mateta,35,2285,16,5,3,0,1.3,73.8,1.4,2,6.88,Crystal Palace,26,Centre-Forward,€20.00m  
Antoine Semenyo,33,2113,8,2,6,0,2.1,74.3,1.6,3,6.88,Bournemouth,24,Right Winger,€10.00m  
Joachim Andersen,38,3418,2,3,7,0,0.6,79.5,2.4,4,6.88,Crystal Palace,28,Centre-Back,€35.00m  
Yoane Wissa,34,2509,12,3,7,0,2.0,73.2,1.1,2,6.87,Brentford,27,Left Winger,€28.00m  
Cody Gakpo,35,1646,8,5,1,0,1.9,79.3,0.9,2,6.87,Liverpool,25,Left Winger,€50.00m  
Harry Maguire,22,1651,2,2,4,0,0.9,83.4,3.1,0,6.87,Man Utd,31,Centre-Back,€18.00m  
Cheick Doucouré,11,922,0,0,2,0,0.5,87.2,0.5,0,6.87,Crystal Palace,24,Defensive Midfield,€35.00m  
Marcus Tavernier,30,2134,3,4,3,0,1.8,79.3,0.4,1,6.86,Bournemouth,25,Left Midfield,€20.00m  
Simon Adingra,31,2233,6,1,3,0,1.7,81.1,0.3,3,6.86,Brighton,22,Right Winger,€30.00m  
Mario Lemina,35,2976,4,1,10,1,1.4,86.7,1.0,2,6.85,Wolves,30,Defensive Midfield,€10.00m  
Sergio Reguilón,16,1122,0,4,4,1,0.8,71.8,0.9,1,6.85,Brentford,27,Left-Back,€12.00m  
Sergio Reguilón,16,1122,0,4,4,1,0.8,71.8,0.9,1,6.85,Brentford,27,Left-Back,€12.00m  
Moisés Caicedo,35,2875,1,3,11,0,0.4,90.8,0.9,2,6.85,Chelsea,22,Defensive Midfield,€75.00m  
William Saliba,38,3420,2,1,4,0,0.3,92.6,1.9,2,6.85,Arsenal,23,Centre-Back,€80.00m  
Jordan Ayew,35,2551,4,7,7,1,1.4,80.6,1.0,3,6.85,Crystal Palace,32,Centre-Forward,€4.00m  
André Onana,38,3420,0,0,5,0,0.0,70.4,0.4,2,6.84,Man Utd,28,Goalkeeper,€35.00m  
Noni Madueke,23,1057,5,2,2,0,1.4,88.5,0.3,2,6.84,Chelsea,22,Right Winger,€28.00m  
James Garner,37,3006,1,2,7,0,1.1,82.8,0.7,0,6.84,Everton,23,Defensive Midfield,€22.00m  
Ibrahima Konaté,22,1571,0,0,3,1,0.5,88.0,3.5,0,6.84,Liverpool,25,Centre-Back,€45.00m  
Richarlison,28,1493,11,4,3,0,2.2,70.9,0.9,1,6.83,Tottenham,27,Centre-Forward,€38.00m  
Rúben Dias,30,2558,0,0,0,0,0.7,94.1,1.6,0,6.83,Man City,27,Centre-Back,€80.00m  
Idrissa Gueye,25,1896,4,0,8,0,1.0,85.6,0.6,1,6.83,Everton,34,Central Midfield,€3.00m  
Lewis Cook,33,2792,0,3,5,1,0.4,81.2,1.3,2,6.83,Bournemouth,27,Central Midfield,€12.00m  
Lewis Cook,33,2792,0,3,5,1,0.4,81.2,1.3,2,6.83,Bournemouth,27,Central Midfield,€12.00m  
Martin Dúbravka,23,1984,0,0,1,0,0.0,74.9,0.2,2,6.83,Newcastle,35,Goalkeeper,€1.00m  
Alfie Doughty,37,2938,2,8,5,0,0.7,75.2,0.6,2,6.83,Luton,24,Left Midfield,€10.00m  
Leandro Trossard,34,1647,12,1,2,0,1.8,78.7,0.2,1,6.82,Arsenal,29,Left Winger,€35.00m  
Jefferson Lerma,28,2404,1,1,8,0,1.2,82.4,2.5,1,6.82,Crystal Palace,29,Defensive Midfield,€20.00m  
Levi Colwill,23,1800,1,1,2,0,0.5,83.4,1.9,2,6.82,Chelsea,21,Centre-Back,€50.00m  
Mark Travers,4,360,0,0,0,0,0.0,51.4,0.5,0,6.82,Bournemouth,25,Goalkeeper,€3.50m  
Marc Cucurella,21,1786,0,2,10,0,0.4,86.7,1.2,0,6.81,Chelsea,25,Left-Back,€25.00m  
Dominik Szoboszlai,33,2110,3,2,1,0,1.8,87.3,0.4,1,6.81,Liverpool,23,Central Midfield,€75.00m  
Oleksandr Zinchenko,27,1727,1,2,2,0,0.6,89.4,1.0,3,6.81,Arsenal,27,Left-Back,€38.00m  
Raheem Sterling,31,1983,8,4,7,0,1.6,79.3,0.1,2,6.8,Chelsea,29,Left Winger,€35.00m  
Tosin Adarabioyo,20,1617,2,0,2,0,0.7,84.7,2.9,0,6.8,Fulham,26,Centre-Back,€20.00m  
Kobbie Mainoo,24,1942,3,1,3,0,0.5,86.7,0.8,0,6.8,Man Utd,19,Central Midfield,€50.00m  
